"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"003204000010200","经皮瓣膜球囊成形术(三尖瓣)","","","","","","","",,,3,,,"介入治疗"
"003101000240000","单纤维肌电图","","","","","","","",,,2,,,"肌电"
"003107020060000","临时起搏器应用","","","","","","","",,,24,,,"监测"
"003309000080000","髂腹股沟淋巴结清扫术","","","","","","","",,,1,,,"普外"
"003308040630200","小动脉吻合术(趾动脉吻合)","","","","","","","",,,5,,,"普外"
"003311020130000","输尿管皮肤造口术","","","","","","","",,,1,,,"泌尿"
"003315010360000","椎管扩大减压术","","","","","","","",,,3,,,"骨科"
"003306010090000","中鼻甲部分切除术","","","","","","","",,,1,,,"耳鼻喉"
"003302030100100","颈动脉外膜剥脱术(颈总动脉剥脱术)","","","","","","","",,,1,,,"普外"
"003315140010000","断肢再植术","","","","","","","",,,4,,,"骨科"
"002101030100000","唾液腺造影","","","","","","","",,,1,,,"放射"
"003315210390000","虎口成形术","","","","","","","",,,1,,,"骨科"
"003312020140000","经腹腔镜隐睾探查术","","","","","","","",,,1,,,"泌尿"
"003304060210000","人工晶体悬吊术","","","","","","","",,,1,,,"眼科"
"003401000040500","紫外线治疗(高压紫外线)","","","","","","","",,,2,,20,"物理治疗"
"003315200030000","手部外伤皮肤缺损游离植皮术","","","","","","","",,,5,,,"骨科"
"002403000030000","60钴外照射(特殊照射)","","","","","","","",,,2,,,"放射"
"003315120150000","_外翻矫形术","","","","","","","",,,1,,,"骨科"
"003316030110000","取皮术","","","","","","","",,,10,,,"普外"
"003107020020000","持续有创性血压监测","","","","","","","",,,24,,,"监测"
"003302030100200","颈动脉外膜剥脱术(颈内动脉剥脱术)","","","","","","","",,,1,,,"普外"
"003315190120100","指关节成形术(趾关节)","","","","","","","",,,5,,,"骨科"
"003105040030300","面神经肌电图检查(上唇)","","","","","","","",,,2,,,"肌电"
"004300000220200","穴位注射(自血疗法)","","","","","","","",,,20,,20,"中医治疗"
"003312030020000","输精管附睾吻合术","","","","","","","",,,1,,,"泌尿"
"004400000050000","药物罐","","","","","","","",,,3,,20,"中医治疗"
"003316030130000","网状自体皮制备","","","","","","","",,,10,,,"普外"
"003107010220000","心电监测","","","","","","","",,,24,,,"监测"
"003401000050000","激光疗法","","","","","","","",,,2,,20,"物理治疗"
"003306080150000","颧骨陈旧性骨折截骨整复术","","","","","","","",,,1,,,"骨科"
"003312020070000","交通性鞘膜积液修补术","","","","","","","",,,1,,,"泌尿"
"001211000020000","特殊物理降温","","","","","","","",,,24,,,"一般诊疗"
"003105160010200","颞颌关节腔内封闭治疗(药物注射)","","","","","","","",,,1,,,"骨科"
"003306080130000","颧骨上颌骨复合骨折切开复位内固定术","","","","","","","",,,1,,,"骨科"
"003110000150000","肾穿刺术","","","","","","","",,,1,,,"泌尿"
"003302030100300","颈动脉外膜剥脱术(迷走神经剥离术)","","","","","","","",,,1,,,"普外"
"002505010050000","麻风菌镜检","","","","","","","",,,2,,,"化验"
"003204000010300","经皮瓣膜球囊成形术(主动脉瓣)","","","","","","","",,,3,,,"介入治疗"
"003316010050000","乳腺癌根治术","","","","","","","",,,1,,,"普外"
"003306010110000","鼻前庭囊肿切除术","","","","","","","",,,1,,,"耳鼻喉"
"002101010010200","普通透视(腹)","","","","","","","",,,2,,,"放射"
"002101020090000","咬合片","","","","","","","",,,4,,,"放射"
"003316030060100","深度烧伤截肢术(冻伤截肢术)","","","","","","","",,,4,,,"普外"
"001201000020000","特级护理","","","","","","","",,,24,,,"护理"
"003316030160000","异体皮制备","","","","","","","",,,10,,,"普外"
"003308040630100","小动脉吻合术(指动脉吻合)","","","","","","","",,,5,,,"普外"
"003315060220000","_窝囊肿切除术","","","","","","","",,,1,,,"骨科"
"003204000010100","经皮瓣膜球囊成形术(二尖瓣)","","","","","","","",,,3,,,"介入治疗"
"002105000020000","红外线乳腺检查","","","","","","","",,,1,,,"放射"
"003303000220000","肾上腺嗜铬细胞瘤切除术","","","","","","","",,,1,,,"泌尿"
"003105160040300","关节镜手术治疗(骨关节病刨削术)","","","","","","","",,,1,,,"骨科"
"003110000150200","肾穿刺术(囊肿硬化治疗)","","","","","","","",,,1,,,"泌尿"
"002403000050000","直线加速器放疗(特殊照射)","","","","","","","",,,2,,,"放射"
"003306010120000","鼻息肉摘除术","","","","","","","",,,1,,,"耳鼻喉"
"003315010220000","颈椎钩椎关节切除术","","","","","","","",,,3,,,"骨科"
"003316030340000","烧伤截指术","","","","","","","",,,5,,,"骨科"
"003204000010500","经皮瓣膜球囊成形术(房间隔穿刺术)","","","","","","","",,,3,,,"介入治疗"
"003308040610000","大隐静脉耻骨上转流术","","","","","","","",,,1,,,"普外"
"003307020090000","肺大泡切除修补术","","","","","","","",,,1,,,"心胸"
"002204000020000","四肢多普勒血流图","","","","","","","",,,4,,,"B超"
"002203020060000","四肢血管彩色多普勒超声","","","","","","","",,,4,,,"B超"
"003316030190000","磨痂自体皮移植术","","","","","","","",,,10,,,"普外"
"002101030050000","泪道造影","","","","","","","",,,1,,,"放射"
"003312020110000","睾丸切除术","","","","","","","",,,1,,,"泌尿"
"003303000090000","甲状腺次全切除术","","","","","","","",,,1,,,"普外"
"002101010010000","普通透视","","","","","","","",,,2,,,"放射"
"003401000040200","紫外线治疗(中波紫外线)","","","","","","","",,,2,,20,"物理治疗"
